Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
18,Jrue Holiday\holidjr01,NOP,"$25,976,111 ","$26,131,111 ","$26,131,111 ","$27,020,000 ",,,Bird Rights,"$78,238,333 "
19,CJ McCollum\mccolcj01,POR,"$25,759,766 ","$27,556,959 ","$29,354,152 ",,,,1st Round Pick,"$82,670,877 "
20,Carmelo Anthony\anthoca01,ATL,"$25,534,253 ",,,,,,,"$25,534,253 "
21,Andrew Wiggins\wiggian01,MIN,"$25,467,250 ","$27,270,000 ","$29,290,000 ","$31,310,000 ","$33,330,000 ",,1st Round Pick,"$146,667,250 "
22,Joel Embiid\embiijo01,PHI,"$25,467,250 ","$27,270,000 ","$29,290,000 ","$31,310,000 ","$33,330,000 ",,1st Round Pick,"$25,467,250 "
23,Bradley Beal\bealbr01,WAS,"$25,434,263 ","$27,093,019 ","$28,751,775 ",,,,Cap Space,"$81,279,057 "
24,Anthony Davis\davisan02,NOP,"$25,434,263 ","$27,093,019 ","$28,751,775 ",,,,1st Round Pick,"$52,527,282 "
25,Andre Drummond\drumman01,DET,"$25,434,263 ","$27,093,019 ","$28,751,775 ",,,,Cap Space,"$52,527,282 "
26,Hassan Whiteside\whiteha01,MIA,"$25,434,263 ","$27,093,018 ",,,,,Cap Space,"$25,434,263 "
27,Nikola Jokic\jokicni01,DEN,"$24,605,181 ","$26,573,595 ","$28,542,009 ","$30,510,423 ","$32,478,837 ",,,"$142,710,045 "
28,Steven Adams\adamsst01,OKC,"$24,157,304 ","$25,842,697 ","$27,528,090 ",,,,1st Round Pick,"$77,528,091 "
29,Giannis Antetokounmpo\antetgi01,MIL,"$24,157,304 ","$25,842,697 ","$27,528,090 ",,,,1st Round Pick,"$77,528,091 "
30,Kevin Love\loveke01,CLE,"$24,119,025 ","$28,900,000 ","$31,300,000 ","$31,300,000 ","$28,900,000 ",,Bird Rights,"$144,519,025 "
31,Marc Gasol\gasolma01,TOR,"$24,119,025 ","$25,595,700 ",,,,,Bird Rights,"$24,119,025 "
32,Chandler Parsons\parsoch01,MEM,"$24,107,258 ","$25,102,511 ",,,,,Cap Space,"$49,209,769 "
33,Harrison Barnes\barneha02,SAC,"$24,107,258 ","$25,102,512 ",,,,,Cap Space,"$24,107,258 "
34,Nicolas Batum\batumni01,CHO,"$24,000,000 ","$25,565,217 ","$27,130,434 ",,,,Cap Space,"$49,565,217 "
35,Rudy Gobert\goberru01,UTA,"$23,241,573 ","$25,008,427 ","$26,525,281 ",,,,1st Round Pick,"$74,775,281 "
36,Kawhi Leonard\leonaka01,TOR,"$23,114,067 ","$21,329,752 ",,,,,Bird Rights,"$23,114,067 "
37,DeAndre Jordan\jordade01,NYK,"$22,900,000 ",,,,,,,"$22,900,000 "
38,LaMarcus Aldridge\aldrila01,SAS,"$22,347,015 ","$26,000,000 ","$24,000,000 ",,,,Cap Space,"$55,347,015 "
39,Serge Ibaka\ibakase01,TOR,"$21,666,667 ","$23,271,604 ",,,,,Cap space,"$44,938,271 "
40,Aaron Gordon\gordoaa01,ORL,"$21,590,909 ","$19,863,636 ","$18,136,364 ","$16,409,091 ",,,,"$76,000,000 "
41,Danilo Gallinari\gallida01,LAC,"$21,587,579 ","$22,615,559 ",,,,,Sign and Trade,"$44,203,138 "
42,Victor Oladipo\oladivi01,IND,"$21,000,000 ","$21,000,000 ","$21,000,000 ",,,,1st Round Pick,"$63,000,000 "
43,Jimmy Butler\butleji01,PHI,"$20,445,779 ","$19,841,627 ",,,,,Bird Rights,"$20,445,779 "
44,Ryan Anderson\anderry01,MIA,"$20,421,546 ","$15,600,000 ",,,,,Cap Space,"$36,021,546 "
45,Kyrie Irving\irvinky01,BOS,"$20,099,189 ","$21,329,750 ",,,,,Bird Rights,"$20,099,189 "
46,Jabari Parker\parkeja01,WAS,"$20,000,000 ","$20,000,000 ",,,,,,"$20,000,000 "
47,Zach LaVine\lavinza01,CHI,"$19,500,000 ","$19,500,000 ","$19,500,000 ","$19,500,000 ",,,,"$78,000,000 "
48,Tyler Johnson\johnsty01,PHO,"$19,245,370 ","$19,245,370 ",,,,,Cap Space,"$19,245,370 "
49,John Wall\walljo01,WAS,"$19,169,800 ","$37,800,000 ","$40,824,000 ","$43,848,000 ","$46,872,000 ",,Bird Rights,"$141,641,800 "
50,Jeff Teague\teaguje01,MIN,"$19,000,000 ","$19,000,000 ",,,,,Cap space,"$38,000,000 "
51,George Hill\hillge01,MIL,"$19,000,000 ","$18,000,000 ",,,,,Cap space,"$20,000,000 "
52,Klay Thompson\thompkl01,GSW,"$18,988,725 ",,,,,,1st Round Pick,"$18,988,725 "
53,Dwight Howard\howardw01,BRK,"$18,919,725 ",,,,,,,"$18,919,725 "
54,Wesley Matthews\matthwe02,NYK,"$18,622,514 ",,,,,,,"$18,622,514 "
55,Enes Kanter\kanteen01,NYK,"$18,622,514 ",,,,,,,"$18,622,514 "
