Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
225,Wendell Carter\cartewe01,CHI,"$4,441,200 ","$5,201,400 ","$5,448,840 ","$6,920,027 ",,,1st Round Pick,"$9,642,600 "
226,Justin Holiday\holidju01,MEM,"$4,384,616 ",,,,,,MLE,"$4,384,616 "
227,Alex Len\lenal01,ATL,"$4,350,000 ","$4,160,000 ",,,,,Room Exception,"$8,510,000 "
228,Mike Scott\scottmi01,PHI,"$4,320,500 ",,,,,,MLE,"$4,320,500 "
229,Luc Mbah a Moute\mbahalu01,LAC,"$4,320,500 ",,,,,,,"$4,320,500 "
230,Emmanuel Mudiay\mudiaem01,NYK,"$4,294,480 ",,,,,,1st round pick,"$4,294,480 "
231,Kris Dunn\dunnkr01,CHI,"$4,221,000 ","$5,348,007 ",,,,,1st Round pick,"$9,569,007 "
232,Frank Ntilikina\ntilila01,NYK,"$4,155,720 ","$4,855,800 ","$6,176,578 ",,,,1st Round Pick,"$9,011,520 "
233,Glenn Robinson\robingl02,DET,"$4,075,000 ","$4,150,000 ",,,,,MLE,"$4,075,000 "
234,Collin Sexton\sextoco01,CLE,"$4,068,600 ","$4,764,960 ","$4,991,880 ","$6,349,671 ",,,1st Round Pick,"$8,833,560 "
235,Al Jefferson\jeffeal01,IND,"$4,000,000 ",,,,,,,"$4,000,000 "
236,Stanley Johnson\johnsst04,NOP,"$3,940,402 ",,,,,,1st round pick,"$3,940,402 "
237,Buddy Hield\hieldbu01,SAC,"$3,833,760 ","$4,861,208 ",,,,,1st Round pick,"$8,694,968 "
238,Dennis Smith\smithde03,NYK,"$3,819,960 ","$4,463,640 ","$5,686,677 ",,,,1st Round Pick,"$8,283,600 "
239,Kevin Knox\knoxke01,NYK,"$3,739,920 ","$4,380,120 ","$4,588,680 ","$5,845,978 ",,,1st Round Pick,"$8,120,040 "
240,J.J. Barea\bareajo01,DAL,"$3,710,850 ",,,,,,Cap Space,"$3,710,850 "
241,Nene Hilario\hilarne01,HOU,"$3,651,480 ","$3,825,360 ",,,,,Non-Bird Rights,"$7,476,840 "
242,Zach Collins\colliza01,POR,"$3,628,920 ","$4,240,200 ","$5,406,255 ",,,,1st Round Pick,"$7,869,120 "
243,Frank Kaminsky\kaminfr01,CHO,"$3,627,842 ",,,,,,1st round pick,"$3,627,842 "
244,Mikal Bridges\bridgmi01,PHO,"$3,552,960 ","$4,161,000 ","$4,359,000 ","$5,557,725 ",,,1st Round Pick,"$7,713,960 "
245,Mirza Teletovic\teletmi01,MIL,"$3,500,000 ","$3,500,000 ","$3,500,000 ",,,,,"$10,500,000 "
246,Michael Beasley\beaslmi01,LAC,"$3,500,000 ",,,,,,,"$3,500,000 "
247,Jamal Murray\murraja01,DEN,"$3,499,800 ","$4,444,746 ",,,,,1st Round pick,"$7,944,546 "
248,Rodney Hood\hoodro01,POR,"$3,472,887 ",,,,,,,"$3,472,887 "
249,Jodie Meeks\meeksjo01,MIL,"$3,454,500 ",,,,,,,"$3,454,500 "
250,Justise Winslow\winslju01,MIA,"$3,448,926 ","$13,000,000 ","$13,000,000 ","$13,000,000 ",,,1st round pick,"$29,448,926 "
251,Malik Monk\monkma01,CHO,"$3,447,480 ","$4,028,400 ","$5,345,687 ",,,,1st Round Pick,"$7,475,880 "
252,Myles Turner\turnemy01,IND,"$3,410,284 ","$18,000,000 ","$18,000,000 ","$18,000,000 ","$18,000,000 ",,1st round pick,"$75,410,284 "
253,Allonzo Trier\trieral01,NYK,"$3,382,000 ","$3,551,100 ",,,,,Bi-Annual Exception,"$3,382,000 "
254,Brook Lopez\lopezbr01,MIL,"$3,382,000 ",,,,,,Bi-annual Exception,"$3,382,000 "
255,Shai Gilgeous-Alexander\gilgesh01,LAC,"$3,375,360 ","$3,952,920 ","$4,141,320 ","$5,495,532 ",,,1st Round Pick,"$7,328,280 "
256,Trey Lyles\lylestr01,DEN,"$3,364,249 ",,,,,,1st round pick,"$3,364,249 "
257,Ekpe Udoh\udohek01,UTA,"$3,360,000 ",,,,,,Room Exception,"$3,360,000 "
258,Devin Booker\bookede01,PHO,"$3,314,365 ","$27,250,000 ","$29,430,000 ","$31,610,000 ","$33,790,000 ","$35,970,000 ",1st round pick,"$161,364,365 "
259,Luke Kennard\kennalu01,DET,"$3,275,280 ","$3,827,160 ","$5,273,826 ",,,,1st Round Pick,"$7,102,440 "
260,Cameron Payne\payneca01,CHI,"$3,263,295 ",,,,,,,"$3,263,295 "
261,Troy Daniels\danietr01,PHO,"$3,258,539 ",,,,,,Cap Space,"$3,258,539 "
262,Kelly Oubre\oubreke01,PHO,"$3,208,630 ",,,,,,1st round pick,"$3,208,630 "
263,Miles Bridges\bridgmi02,CHO,"$3,206,640 ","$3,755,400 ","$3,934,320 ","$5,421,493 ",,,1st Round Pick,"$6,962,040 "
264,Marquese Chriss\chrisma01,CLE,"$3,206,160 ",,,,,,1st Rd pick,"$3,206,160 "
265,Tomas Satoransky\satorto01,WAS,"$3,129,187 ",,,,,,Cap Space,"$3,129,187 "
266,Bryn Forbes\forbebr01,SAS,"$3,125,000 ","$2,875,000 ",,,,,Early Bird Rights,"$6,000,000 "
267,Donovan Mitchell\mitchdo01,UTA,"$3,111,480 ","$3,635,760 ","$5,195,501 ",,,,1st Round Pick,"$6,747,240 "
268,Terry Rozier\roziete01,BOS,"$3,050,390 ",,,,,,1st round pick,"$3,050,390 "
269,Jerome Robinson\robinje01,LAC,"$3,046,200 ","$3,567,720 ","$3,737,520 ","$5,340,916 ",,,1st Round Pick,"$6,613,920 "
270,Yogi Ferrell\ferreyo01,SAC,"$3,000,000 ","$3,150,000 ",,,,,Cap Space,"$3,000,000 "
271,Elfrid Payton\paytoel01,NOP,"$3,000,000 ",,,,,,Bi-annual Exception,"$3,000,000 "
272,Bam Adebayo\adebaba01,MIA,"$2,955,840 ","$3,454,080 ","$5,115,492 ",,,,1st Round Pick,"$6,409,920 "
273,Jakob Poeltl\poeltja01,SAS,"$2,947,320 ","$3,754,886 ",,,,,1st Round pick,"$6,702,206 "
274,Michael Porter\portemi01,DEN,"$2,894,160 ","$3,389,400 ","$3,550,800 ","$5,258,735 ",,,1st Round Pick,"$6,283,560 "
275,Andrew Nicholson\nichoan01,POR,"$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ","$2,844,429 ",,"$17,066,574 "
276,Justin Jackson\jacksju01,DAL,"$2,807,880 ","$3,280,920 ","$5,029,650 ",,,,1st Round Pick,"$6,088,800 "
277,Thon Maker\makerth01,DET,"$2,799,720 ","$3,569,643 ",,,,,1st Round pick,"$6,369,363 "
278,Seth Curry\curryse01,POR,"$2,795,000 ",,,,,,MLE,"$2,795,000 "
279,Cedi Osman\osmande01,CLE,"$2,775,000 ","$2,907,143 ",,,,,MLE,"$5,682,143 "
280,Sam Dekker\dekkesa01,WAS,"$2,760,095 ",,,,,,1st Round pick,"$2,760,095 "
281,Troy Brown\browntr01,WAS,"$2,749,080 ","$3,219,480 ","$3,372,840 ","$5,170,564 ",,,1st Round Pick,"$5,968,560 "
282,Guerschon Yabusele\yabusgu01,BOS,"$2,667,600 ","$3,117,240 ","$4,781,846 ",,,,1st Round Pick,"$5,784,840 "
283,Justin Patton\pattoju01,PHI,"$2,667,600 ",,,,,,,"$2,667,600 "
284,Domantas Sabonis\sabondo01,IND,"$2,659,800 ","$3,529,555 ",,,,,1st Round pick,"$6,189,355 "
285,Jerian Grant\grantje02,ORL,"$2,639,314 ",,,,,,1st Round pick,"$2,639,314 "
286,Zhaire Smith\smithzh01,PHI,"$2,611,800 ","$3,058,800 ","$3,204,600 ","$4,915,856 ",,,1st Round Pick,"$5,670,600 "
287,Delon Wright\wrighde01,MEM,"$2,536,898 ",,,,,,1st Round pick,"$2,536,898 "
288,D.J. Wilson\wilsodj01,MIL,"$2,534,280 ","$2,961,120 ","$4,548,280 ",,,,1st Round Pick,"$5,495,400 "
289,Dario Saric\saricda01,MIN,"$2,526,840 ","$3,481,986 ",,,,,1st Round pick,"$6,008,826 "
290,Taurean Waller-Prince\princta02,ATL,"$2,526,840 ","$3,481,986 ",,,,,1st Round pick,"$6,008,826 "
291,Justin Anderson\anderju01,ATL,"$2,516,048 ",,,,,,1st Round pick,"$2,516,048 "
292,Manu Ginobili\ginobma01,SAS,"$2,500,000 ",,,,,,,"$2,500,000 "
293,Dante Cunningham\cunnida01,SAS,"$2,500,000 ",,,,,,Bi-annual Exception,"$2,500,000 "
294,Reggie Bullock\bullore01,LAL,"$2,500,000 ",,,,,,Cap space,"$2,500,000 "
295,Bobby Portis\portibo01,WAS,"$2,494,346 ",,,,,,1st Round pick,"$2,494,346 "
296,Donte DiVincenzo\divindo01,MIL,"$2,481,000 ","$2,905,800 ","$3,044,160 ","$4,675,830 ",,,1st Round Pick,"$5,386,800 "
297,Rondae Hollis-Jefferson\holliro01,BRK,"$2,470,357 ",,,,,,1st Round pick,"$2,470,357 "
298,Tyus Jones\jonesty01,MIN,"$2,444,053 ",,,,,,1st Round pick,"$2,444,053 "
299,Jarell Martin\martija01,ORL,"$2,416,222 ",,,,,,1st Round pick,"$2,416,222 "
300,T.J. Leaf\leaftj01,IND,"$2,407,560 ","$2,813,280 ","$4,326,825 ",,,,1st Round Pick,"$5,220,840 "
301,Jeff Green\greenje02,WAS,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
302,Amir Johnson\johnsam01,PHI,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
303,Raymond Felton\feltora01,OKC,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
304,Luol Deng\denglu01,MIN,"$2,393,887 ",,,,,,,"$2,393,887 "
305,Udonis Haslem\hasleud01,MIA,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
306,Dwyane Wade\wadedw01,MIA,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
307,JaVale McGee\mcgeeja01,LAL,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
308,Gerald Green\greenge01,HOU,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
309,Andrew Bogut\bogutan01,GSW,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
310,Jose Calderon\caldejo01,DET,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
311,Zaza Pachulia\pachuza01,DET,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
312,Devin Harris\harride01,DAL,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
313,Channing Frye\fryech01,CLE,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
314,Carmelo Anthony\anthoca01,CHI,"$2,393,887 ",,,,,,,"$2,393,887 "
315,Vince Carter\cartevi01,ATL,"$2,393,887 ",,,,,,Minimum Salary,"$2,393,887 "
316,Jamal Crawford\crawfja01,PHO,"$2,393,887 ",,,,,,,
317,Tyson Chandler\chandty01,LAL,"$2,393,887 ",,,,,,,
318,Wayne Ellington\ellinwa01,DET,"$2,383,076 ",,,,,,,"$2,383,076 "
319,Lonnie Walker\walkelo01,SAS,"$2,357,160 ","$2,760,480 ","$2,892,000 ","$4,447,896 ",,,1st Round Pick,"$5,117,640 "
320,Jamal Crawford\crawfja01,ATL,"$2,304,226 ",,,,,,,"$2,304,226 "
321,John Collins\collijo01,ATL,"$2,299,080 ","$2,686,560 ","$4,137,302 ",,,,1st Round Pick,"$4,985,640 "
322,Denzel Valentine\valende01,CHI,"$2,280,600 ","$3,377,569 ",,,,,1st Round pick,"$5,658,169 "
323,Larry Nance\nancela02,CLE,"$2,272,391 ","$12,727,273 ","$11,709,091 ","$10,690,909 ","$9,672,727 ",,1st Round pick,"$47,072,391 "
324,Kevin Huerter\huertke01,ATL,"$2,250,960 ","$2,636,280 ","$2,761,920 ","$4,253,357 ",,,1st Round Pick,"$4,887,240 "
325,Monta Ellis\ellismo01,IND,"$2,245,400 ","$2,245,400 ","$2,245,400 ","$2,245,400 ",,,,"$8,981,600 "
326,Harry Giles\gilesha01,SAC,"$2,207,040 ","$2,578,800 ","$3,976,510 ",,,,1st Round Pick,"$4,785,840 "
327,Darius Miller\milleda01,NOP,"$2,205,000 ",,,,,,MLE,"$2,205,000 "
328,Derrick Rose\rosede01,MIN,"$2,176,260 ",,,,,,Minimum Salary,"$2,176,260 "
329,Omri Casspi\casspom01,MEM,"$2,176,260 ",,,,,,,"$2,176,260 "
330,Juan Hernangomez\hernaju01,DEN,"$2,166,360 ","$3,321,030 ",,,,,1st Round pick,"$5,487,390 "
331,Quincy Pondexter\pondequ01,SAS,"$2,165,481 ",,,,,,,"$2,165,481 "
332,Jonas Jerebko\jerebjo01,GSW,"$2,165,481 ",,,,,,Minimum Salary,"$2,165,481 "
333,Greg Monroe\monrogr01,BRK,"$2,165,481 ",,,,,,,"$2,165,481 "
334,Josh Okogie\okogijo01,MIN,"$2,160,720 ","$2,530,680 ","$2,651,040 ","$4,087,904 ",,,1st Round Pick,"$4,691,400 "
335,Raul Neto\netora01,UTA,"$2,150,000 ","$2,150,000 ",,,,,,"$2,150,000 "
336,Matt Barnes\barnema02,SAC,"$2,133,542 ","$2,133,541 ",,,,,,"$4,267,083 "
337,Terrance Ferguson\fergute01,OKC,"$2,118,840 ","$2,475,840 ","$3,944,013 ",,,,1st Round Pick,"$4,594,680 "
338,Grayson Allen\allengr01,UTA,"$2,074,320 ","$2,429,400 ","$2,545,320 ","$4,054,695 ",,,1st Round Pick,"$4,503,720 "
339,Jarrett Allen\allenja01,BRK,"$2,034,120 ","$2,376,840 ","$3,909,902 ",,,,1st Round Pick,"$4,410,960 "
340,Isaiah Thomas\thomais02,DEN,"$2,029,463 ",,,,,,Minimum Salary,"$2,029,463 "
341,Shelvin Mack\macksh01,CHO,"$2,029,463 ",,,,,,Minimum Salary,"$2,029,463 "
342,Spencer Hawes\hawessp01,MIL,"$2,007,058 ","$2,007,058 ",,,,,,"$4,014,116 "
343,Georgios Papagiannis\papagge01,SAC,"$2,000,400 ",,,,,,,"$2,000,400 "
344,Torrey Craig\craigto01,DEN,"$2,000,000 ","$2,100,000 ",,,,,MLE,"$4,100,000 "
345,Corey Brewer\breweco01,SAC,"$2,000,000 ",,,,,,,"$2,270,496 "
346,Chandler Hutchison\hutchch01,CHI,"$1,991,520 ","$2,332,320 ","$2,443,440 ","$4,019,459 ",,,1st Round Pick,"$4,323,840 "
347,OG Anunoby\anunoog01,TOR,"$1,952,760 ","$2,281,800 ","$3,872,215 ",,,,1st Round Pick,"$4,234,560 "
348,Ante Zizic\zizican01,CLE,"$1,952,760 ","$2,281,800 ","$3,872,215 ",,,,1st Round Pick,"$4,234,560 "
349,Shabazz Napier\napiesh01,BRK,"$1,942,422 ","$1,845,301 ",,,,,Cap Space,"$1,942,422 "
350,Anderson Varejao\varejan01,POR,"$1,913,345 ","$1,913,345 ","$1,913,345 ",,,,,"$5,740,035 "
351,Aaron Holiday\holidaa01,IND,"$1,911,960 ","$2,239,200 ","$2,345,640 ","$3,980,551 ",,,1st Round Pick,"$4,151,160 "
352,Tim Duncan\duncati01,SAS,"$1,881,250 ",,,,,,,"$1,881,250 "
353,Tyler Lydon\lydonty01,DEN,"$1,874,640 ",,,,,,1st Round Pick,"$1,874,640 "
354,Larry Sanders\sandela01,MIL,"$1,865,547 ","$1,865,547 ","$1,865,547 ","$1,865,547 ",,,,"$7,462,188 "
355,Henry Ellenson\ellenhe01,DET,"$1,857,480 ",,,,,,,"$1,857,480 "
356,Anfernee Simons\simonan01,POR,"$1,835,520 ","$2,149,560 ","$2,252,040 ","$3,938,818 ",,,1st Round Pick,"$3,985,080 "
357,Trey Burke\burketr01,DAL,"$1,795,015 ",,,,,,Minimum Salary,"$1,795,015 "
358,Malik Beasley\beaslma01,DEN,"$1,773,840 ","$2,731,714 ",,,,,1st Round pick,"$4,505,554 "
359,Moritz Wagner\wagnemo01,LAL,"$1,762,080 ","$2,063,520 ","$3,893,618 ","$2,161,920 ",,,1st Round Pick,"$3,825,600 "
360,Nerlens Noel\noelne01,OKC,"$1,757,429 ","$1,988,119 ",,,,,Minimum Salary,"$1,757,429 "
361,Ian Clark\clarkia01,NOP,"$1,757,429 ",,,,,,Minimum Salary,"$1,757,429 "
362,Caleb Swanigan\swanica01,SAC,"$1,740,000 ","$2,033,160 ","$3,665,787 ",,,,1st Round Pick,"$3,773,160 "
363,Furkan Korkmaz\korkmfu01,PHI,"$1,740,000 ",,,,,,1st Round Pick,"$1,740,000 "
364,Joakim Noah\noahjo01,MEM,"$1,731,173 ",,,,,,,
365,Landry Shamet\shamela01,LAC,"$1,703,640 ","$1,995,120 ","$2,090,040 ","$3,768,342 ",,,1st Round Pick,"$3,698,760 "
366,Caris LeVert\leverca01,BRK,"$1,702,800 ","$2,625,718 ",,,,,1st Round pick,"$4,328,518 "
367,Jonah Bolden\boldejo01,PHI,"$1,690,000 ","$1,698,450 ","$1,766,550 ","$1,845,000 ",,,,"$3,388,450 "
368,Kyle Kuzma\kuzmaky01,LAL,"$1,689,840 ","$1,974,600 ","$3,562,178 ",,,,1st Round Pick,"$3,664,440 "
369,Tony Bradley\bradlto01,UTA,"$1,679,520 ","$1,962,360 ","$3,542,060 ",,,,1st Round Pick,"$3,641,880 "
370,Derrick White\whitede01,SAS,"$1,667,160 ","$1,948,080 ","$3,516,284 ",,,,1st Round Pick,"$3,615,240 "
371,Spencer Dinwiddie\dinwisp01,BRK,"$1,656,092 ","$10,600,000 ","$11,400,000 ","$12,300,000 ",,,Minimum Salary,"$23,656,092 "
372,MarShon Brooks\brookma01,CHI,"$1,656,092 ",,,,,,,"$1,656,092 "
373,Josh Hart\hartjo01,LAL,"$1,655,160 ","$1,934,160 ","$3,491,159 ",,,,1st Round Pick,"$3,589,320 "
374,Robert Williams\williro04,BOS,"$1,654,440 ","$1,937,520 ","$2,029,920 ","$3,661,976 ",,,1st Round Pick,"$3,591,960 "
375,Jacob Evans\evansja02,GSW,"$1,644,240 ","$1,925,880 ","$2,017,320 ","$3,641,263 ",,,1st Round Pick,"$3,570,120 "
376,Pat Connaughton\connapa01,MIL,"$1,641,000 ","$1,719,000 ",,,,,,"$1,641,000 "
377,DeAndre' Bembry\bembrde01,ATL,"$1,634,640 ","$2,603,982 ",,,,,1st Round pick,"$4,238,622 "
378,Dzanan Musa\musadz01,BRK,"$1,632,240 ","$1,911,600 ","$2,002,800 ","$3,615,054 ",,,1st Round Pick,"$3,543,840 "
379,James Ennis\ennisja01,PHI,"$1,621,415 ","$1,845,301 ",,,,,,"$1,621,415 "
380,Noah Vonleh\vonleno01,NYK,"$1,621,415 ",,,,,,Minimum Salary,"$1,621,415 "
381,Tim Frazier\fraziti01,NOP,"$1,621,415 ",,,,,,,"$1,621,415 "
382,Nik Stauskas\stausni01,IND,"$1,621,415 ",,,,,,,"$1,621,415 "
383,Omari Spellman\spellom01,ATL,"$1,620,480 ","$1,897,800 ","$1,988,280 ","$3,588,845 ",,,1st Round Pick,"$3,518,280 "
384,Luke Kornet\kornelu01,NYK,"$1,619,000 ",,,,,,,"$1,619,000 "
385,Rodions Kurucs\kurucro01,BRK,"$1,618,320 ","$1,699,236 ","$1,780,152 ","$1,861,068 ",,,,"$5,097,708 "
386,Richaun Holmes\holmeri01,PHO,"$1,600,520 ",,,,,,Cap Space,"$1,600,520 "
387,T.J. McConnell\mccontj01,PHI,"$1,600,520 ",,,,,,Minimum Salary,"$1,600,520 "
388,Malachi Richardson\richama01,PHI,"$1,569,360 ",,,,,,,"$1,569,360 "
389,Jahlil Okafor\okafoja01,NOP,"$1,567,007 ","$1,702,486 ",,,,,Minimum Salary,"$1,567,007 "
390,Kevon Looney\looneke01,GSW,"$1,567,007 ",,,,,,,"$1,567,007 "
391,Salah Mejri\mejrisa01,DAL,"$1,567,007 ",,,,,,,"$1,567,007 "
392,Pascal Siakam\siakapa01,TOR,"$1,544,951 ","$2,351,839 ",,,,,1st Round pick,"$3,896,790 "
393,Skal Labissiere\labissk01,POR,"$1,544,951 ","$2,338,847 ",,,,,1st Round pick,"$3,883,798 "
394,Dejounte Murray\murrade01,SAS,"$1,544,951 ","$2,321,735 ",,,,,1st Round pick,"$3,866,686 "
395,Damian Jones\jonesda03,GSW,"$1,544,951 ","$2,305,057 ",,,,,1st Round pick,"$3,850,008 "
396,Deyonta Davis\davisde01,SAC,"$1,544,951 ",,,,,,,"$1,544,951 "
397,Jake Layman\laymaja01,POR,"$1,544,951 ",,,,,,Cap Space,"$1,544,951 "
398,Cheick Diallo\diallch01,NOP,"$1,544,951 ",,,,,,Minimum Salary,"$1,544,951 "
399,Malcolm Brogdon\brogdma01,MIL,"$1,544,951 ",,,,,,Cap Space,"$1,544,951 "
400,Ivica Zubac\zubaciv01,LAC,"$1,544,951 ",,,,,,Cap Space,"$1,544,951 "
401,Rodney McGruder\mcgruro01,LAC,"$1,544,951 ",,,,,,Minimum Salary,"$1,544,951 "
402,Wade Baldwin\baldwwa01,IND,"$1,544,951 ",,,,,,,"$1,544,951 "
403,Quinn Cook\cookqu01,GSW,"$1,544,951 ",,,,,,,"$1,544,951 "
404,Chinanu Onuaku\onuakch01,DAL,"$1,544,951 ",,,,,,,"$1,544,951 "
405,Dorian Finney-Smith\finnedo01,DAL,"$1,544,951 ",,,,,,Minimum Salary,"$1,544,951 "
406,Willy Hernangomez\hernawi01,CHO,"$1,544,951 ","$1,701,735 ",,,,,Cap Space,"$1,544,951 "
407,Timothe Luwawu-Cabarrot\luwawti01,CHI,"$1,544,951 ",,,,,,1st Round pick,"$1,544,951 "
408,Wayne Selden\seldewa01,CHI,"$1,544,951 ",,,,,,,"$1,544,951 "
409,Georges Niang\niangge01,UTA,"$1,512,601 ","$1,645,357 ","$1,783,557 ",,,,,"$1,512,601 "
410,Christian Wood\woodch01,NOP,"$1,512,601 ","$1,645,357 ",,,,,Minimum Salary,"$1,512,601 "
411,Derrick Jones\jonesde02,MIA,"$1,512,601 ","$1,645,357 ",,,,,Minimum Salary,"$1,512,601 "
412,David Nwaba\nwabada01,CLE,"$1,512,601 ",,,,,,Minimum Salary,"$1,512,601 "
413,Treveon Graham\grahatr01,BRK,"$1,512,601 ","$1,645,357 ",,,,,Minimum Salary,"$1,512,601 "
414,Sviatoslav Mykhailiuk\mykhasv01,DET,"$1,487,694 ","$1,416,852 ","$1,663,861 ",,,,Cap Space,"$1,487,694 "
415,Mitchell Robinson\robinmi01,NYK,"$1,485,440 ","$1,559,712 ","$1,663,861 ","$1,802,057 ",,,MLE,"$3,045,152 "
416,Jordan Bell\belljo01,GSW,"$1,378,252 ",,,,,,Minimum Salary,"$1,378,252 "
417,Frank Jackson\jacksfr01,NOP,"$1,378,242 ","$1,618,520 ",,,,,MLE,"$1,884,242 "
418,Thomas Bryant\bryanth01,WAS,"$1,378,242 ",,,,,,Minimum Salary,"$1,378,242 "
419,Royce O'Neale\onealro01,UTA,"$1,378,242 ","$1,618,520 ",,,,,Cap space,"$1,378,242 "
420,Frank Mason\masonfr01,SAC,"$1,378,242 ","$1,618,520 ",,,,,,"$1,378,242 "
421,Davon Reed\reedda01,PHO,"$1,378,242 ",,,,,,,"$1,378,242 "
422,Wesley Iwundu\iwundwe01,ORL,"$1,378,242 ","$1,618,520 ",,,,,,"$1,378,242 "
423,Khem Birch\birchkh01,ORL,"$1,378,242 ",,,,,,Minimum Salary,"$1,378,242 "
424,Abdel Nader\naderab01,OKC,"$1,378,242 ","$1,618,520 ","$1,752,950 ",,,,,"$1,378,242 "
425,Damyean Dotson\dotsoda01,NYK,"$1,378,242 ","$1,618,520 ",,,,,Minimum Salary,"$1,378,242 "
426,Sterling Brown\brownst02,MIL,"$1,378,242 ","$1,618,520 ",,,,,MLE,"$1,378,242 "
427,Rade Zagorac\zagorra01,MEM,"$1,378,242 ",,,,,,,"$1,378,242 "
428,Dillon Brooks\brookdi01,MEM,"$1,378,242 ","$1,618,520 ",,,,,MLE,"$1,378,242 "
429,Tyler Dorsey\dorsety01,MEM,"$1,378,242 ",,,,,,Minimum Salary,"$1,378,242 "
430,Ivan Rabb\rabbiv01,MEM,"$1,378,242 ","$1,618,520 ",,,,,MLE,"$1,378,242 "
431,Jawun Evans\evansja01,LAC,"$1,378,242 ",,,,,,,"$1,378,242 "
432,Sindarius Thornwell\thornsi01,LAC,"$1,378,242 ","$1,618,520 ",,,,,MLE,"$1,378,242 "
433,Ike Anigbogu\anigbik01,IND,"$1,378,242 ",,,,,,,"$1,378,242 "
434,Maxi Kleber\klebima01,DAL,"$1,378,242 ",,,,,,Minimum Salary,"$1,378,242 "
435,Dwayne Bacon\bacondw01,CHO,"$1,378,242 ","$1,618,520 ",,,,,MLE,"$1,378,242 "
436,Semi Ojeleye\ojelese01,BOS,"$1,378,242 ","$1,618,520 ","$1,752,950 ",,,,,"$1,378,242 "
437,Daniel Theis\theisda01,BOS,"$1,378,242 ",,,,,,Minimum Salary,"$1,378,242 "
438,Kevin Martin\martike02,MIN,"$1,360,304 ",,,,,,,"$1,360,304 "
439,Monte Morris\morrimo01,DEN,"$1,349,383 ","$1,588,231 ","$1,663,861 ",,,,Minimum Salary,"$2,937,614 "
440,Antonio Blakeney\blakean01,CHI,"$1,349,383 ","$1,588,231 ",,,,,Minimum Salary,"$2,937,614 "
441,Tyrone Wallace\wallaty01,LAC,"$1,349,383 ","$1,588,231 ",,,,,Minimum Salary,"$1,349,383 "
442,Alfonzo McKinnie\mckinal01,GSW,"$1,349,383 ","$1,588,231 ",,,,,Minimum Salary,"$1,349,383 "
443,Ryan Arcidiacono\arcidry01,CHI,"$1,349,383 ",,,,,,Minimum Salary,"$1,349,383 "
444,Jabari Bird\birdja01,ATL,"$1,349,383 ",,,,,,,"$1,349,383 "
445,Daniel Hamilton\hamilda02,ATL,"$1,349,383 ",,,,,,,"$1,349,383 "
446,Shaquille Harrison\harrish01,CHI,"$1,311,265 ",,,,,,,"$1,311,265 "
447,Elie Okobo\okoboel01,PHO,"$1,238,464 ","$1,416,852 ","$1,663,861 ","$1,802,057 ",,,,"$2,655,316 "
448,Jalen Brunson\brunsja01,DAL,"$1,230,000 ","$1,416,582 ","$1,663,861 ","$1,802,057 ",,,Cap Space,"$4,310,443 "
449,Michael Carter-Williams\cartemi01,CHI,"$1,200,000 ",,,,,,,"$1,200,000 "
450,Austin Rivers\riverau01,HOU,"$1,155,323 ",,,,,,,"$1,155,323 "
451,Melvin Frazier\frazime01,ORL,"$1,050,000 ","$1,416,852 ","$1,663,861 ",,,,MLE,"$2,466,852 "
452,Isaac Bonga\bongais01,LAL,"$1,000,000 ","$1,663,861 ","$1,416,852 ",,,,,"$2,663,861 "
453,Justin Hamilton\hamilju01,TOR,"$1,000,000 ","$1,000,000 ",,,,,,"$2,000,000 "
454,Shelvin Mack\macksh01,ORL,"$1,000,000 ",,,,,,,"$1,000,000 "
455,Kyle Singler\singlky01,OKC,"$999,200 ","$999,200 ","$999,200 ","$999,200 ","$999,200 ",,,"$4,996,000 "
456,Devonte' Graham\grahade01,CHO,"$988,464 ","$1,416,852 ","$1,663,861 ",,,,MLE,"$2,405,316 "
457,Isaiah Taylor\taylois01,CLE,"$950,000 ",,,,,,,"$950,000 "
458,De'Anthony Melton\meltode01,PHO,"$949,000 ","$1,416,852 ",,,,,,"$2,365,852 "
459,Jason Thompson\thompja02,GSW,"$945,126 ",,,,,,,"$945,126 "
460,Kenneth Faried\farieke01,HOU,"$917,272 ",,,,,,,"$917,272 "
461,Chasson Randle\randlch01,WAS,"$869,094 ",,,,,,Minimum Salary,"$869,094 "
462,Gary Trent\trentga02,POR,"$838,464 ","$1,416,852 ","$1,663,861 ",,,,MLE,"$3,919,177 "
